building_type,climate_zone,year_built,weekly_hours,gfa,fifth_percentile,twenty_fifth_percentile,median,mean,seventy_fifth_percentile,ninety_fifth_percentile,climate_zone_description,year_reported,row_count
Healthcare,2B,1980-1999,Fewer than 40,"50,000 - 99,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,1980-1999,Fewer than 40,All,,,,,,,Hot Dry,2023,≤5
Healthcare,2B,2000-2009,40-48,"100,000 - 199,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,2000-2009,40-48,"25,000 - 49,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,2000-2009,40-48,"50,000 - 99,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,2000-2009,40-48,All,15.350000000000001,42.775,64.1,70.16666666666667,108.375,124.85,Hot Dry,2023,6-29
Healthcare,2B,2000-2009,48.01 - 60,"10,000 - 24,999",29.450000000000003,46.625,55.0,55.6,57.599999999999994,87.1,Hot Dry,2023,6-29
Healthcare,2B,2000-2009,48.01 - 60,"25,000 - 49,999",11.46,28.75,45.6,54.17142857142857,74.30000000000001,106.10999999999997,Hot Dry,2023,6-29
Healthcare,2B,2000-2009,48.01 - 60,"5,000 - 9,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,2000-2009,48.01 - 60,"50,000 - 99,999",17.8,58.525000000000006,61.8,71.76666666666667,83.15,138.60000000000002,Hot Dry,2023,6-29
Healthcare,2B,2000-2009,48.01 - 60,All,10.5,44.0,57.7,61.871428571428574,80.7,117.0,Hot Dry,2023,6-29
Healthcare,2B,2000-2009,60.01 - 84,"10,000 - 24,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,2000-2009,60.01 - 84,"100,000 - 199,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,2000-2009,60.01 - 84,"25,000 - 49,999",13.649999999999999,33.400000000000006,51.1,47.09090909090909,56.5,82.30000000000001,Hot Dry,2023,6-29
Healthcare,2B,2000-2009,60.01 - 84,"5,000 - 9,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,2000-2009,60.01 - 84,"50,000 - 99,999",48.135000000000005,66.825,79.05000000000001,89.66666666666667,110.925,144.37999999999997,Hot Dry,2023,6-29
Healthcare,2B,2000-2009,60.01 - 84,All,13.605,45.324999999999996,60.150000000000006,64.84333333333333,80.875,121.69999999999997,Hot Dry,2023,30-49
Healthcare,2B,2000-2009,84.01-167,"10,000 - 24,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,2000-2009,84.01-167,"25,000 - 49,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,2000-2009,84.01-167,"50,000 - 99,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,2000-2009,84.01-167,All,,,,,,,Hot Dry,2023,≤5
Healthcare,2B,2000-2009,All,"10,000 - 24,999",13.68,39.15,55.0,51.1375,60.65,86.54999999999998,Hot Dry,2023,6-29
Healthcare,2B,2000-2009,All,"100,000 - 199,999",43.225,51.375,58.7,61.28333333333333,67.15,85.05000000000001,Hot Dry,2023,6-29
Healthcare,2B,2000-2009,All,"25,000 - 49,999",13.225,43.35,51.599999999999994,57.845454545454544,77.3,117.75999999999999,Hot Dry,2023,6-29
Healthcare,2B,2000-2009,All,"5,000 - 9,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,2000-2009,All,"50,000 - 99,999",9.740000000000002,57.9,69.2,77.27826086956522,97.3,151.84999999999997,Hot Dry,2023,6-29
Healthcare,2B,2000-2009,All,All,10.635000000000002,44.4,58.5,64.50806451612904,80.55,124.92499999999997,Hot Dry,2023,50-99
Healthcare,2B,2000-2009,Fewer than 40,"50,000 - 99,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,2000-2009,Fewer than 40,All,,,,,,,Hot Dry,2023,≤5
Healthcare,2B,2010 and after,40-48,"25,000 - 49,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,2010 and after,40-48,"50,000 - 99,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,2010 and after,40-48,All,,,,,,,Hot Dry,2023,≤5
Healthcare,2B,2010 and after,48.01 - 60,"10,000 - 24,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,2010 and after,48.01 - 60,"100,000 - 199,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,2010 and after,48.01 - 60,"25,000 - 49,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,2010 and after,48.01 - 60,All,,,,,,,Hot Dry,2023,≤5
Healthcare,2B,2010 and after,60.01 - 84,"10,000 - 24,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,2010 and after,60.01 - 84,"200,000 - 499,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,2010 and after,60.01 - 84,"25,000 - 49,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,2010 and after,60.01 - 84,"50,000 - 99,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,2010 and after,60.01 - 84,All,20.380000000000003,65.1,71.6,77.31428571428572,100.35,128.00999999999996,Hot Dry,2023,6-29
Healthcare,2B,2010 and after,All,"10,000 - 24,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,2010 and after,All,"100,000 - 199,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,2010 and after,All,"200,000 - 499,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,2010 and after,All,"25,000 - 49,999",55.800000000000004,73.8,112.25,108.85,131.04999999999998,166.5,Hot Dry,2023,6-29
Healthcare,2B,2010 and after,All,"5,000 - 9,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,2010 and after,All,"50,000 - 99,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,2010 and after,All,All,34.075,54.0,69.85,82.1125,107.925,146.29999999999998,Hot Dry,2023,6-29
Healthcare,2B,2010 and after,Open Continuously,"5,000 - 9,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,2010 and after,Open Continuously,"50,000 - 99,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,2010 and after,Open Continuously,All,,,,,,,Hot Dry,2023,≤5
Healthcare,2B,All,40-48,"100,000 - 199,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,All,40-48,"25,000 - 49,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,All,40-48,"50,000 - 99,999",5.76,37.775,55.0,49.4,69.2,79.75,Hot Dry,2023,6-29
Healthcare,2B,All,40-48,All,6.24,42.775,61.95,64.05,79.85,121.08999999999999,Hot Dry,2023,6-29
Healthcare,2B,All,48.01 - 60,"10,000 - 24,999",33.33,44.300000000000004,54.3,63.82,57.599999999999994,132.44999999999993,Hot Dry,2023,6-29
Healthcare,2B,All,48.01 - 60,"100,000 - 199,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,All,48.01 - 60,"25,000 - 49,999",12.1,44.7,53.9,66.86363636363636,76.4,146.8,Hot Dry,2023,6-29
Healthcare,2B,All,48.01 - 60,"5,000 - 9,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,All,48.01 - 60,"50,000 - 99,999",25.78,61.0,71.4,74.76666666666667,88.3,128.88,Hot Dry,2023,6-29
Healthcare,2B,All,48.01 - 60,All,12.42,45.6,58.3,68.7030303030303,82.6,157.56,Hot Dry,2023,30-49
Healthcare,2B,All,60.01 - 84,"10,000 - 24,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,All,60.01 - 84,"100,000 - 199,999",51.67,58.55,61.6,71.87142857142857,79.7,107.68999999999998,Hot Dry,2023,6-29
Healthcare,2B,All,60.01 - 84,"200,000 - 499,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,All,60.01 - 84,"25,000 - 49,999",13.83,43.5,54.3,66.37333333333333,82.30000000000001,146.45999999999995,Hot Dry,2023,6-29
Healthcare,2B,All,60.01 - 84,"5,000 - 9,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,All,60.01 - 84,"50,000 - 99,999",51.39,67.9,82.7,88.22,106.69999999999999,138.01999999999995,Hot Dry,2023,6-29
Healthcare,2B,All,60.01 - 84,All,13.245,51.175,67.85,71.16190476190476,91.0,135.65499999999994,Hot Dry,2023,30-49
Healthcare,2B,All,84.01-167,"10,000 - 24,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,All,84.01-167,"100,000 - 199,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,All,84.01-167,"25,000 - 49,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,All,84.01-167,"50,000 - 99,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,All,84.01-167,All,,,,,,,Hot Dry,2023,≤5
Healthcare,2B,All,All,"10,000 - 24,999",5.945,44.05,54.3,56.02142857142857,65.35,119.44999999999997,Hot Dry,2023,6-29
Healthcare,2B,All,All,"100,000 - 199,999",45.005,57.175,63.150000000000006,73.34,85.05000000000001,120.32499999999999,Hot Dry,2023,6-29
Healthcare,2B,All,All,"200,000 - 499,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,All,All,"25,000 - 49,999",13.524999999999999,44.25,60.400000000000006,70.2,88.575,148.16999999999993,Hot Dry,2023,30-49
Healthcare,2B,All,All,"5,000 - 9,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,All,All,"50,000 - 99,999",6.5600000000000005,58.675,70.30000000000001,73.83157894736843,88.2,129.72499999999997,Hot Dry,2023,30-49
Healthcare,2B,All,All,All,10.5,49.9,62.7,69.92079207920793,88.3,136.2,Hot Dry,2023,100-249
Healthcare,2B,All,Fewer than 40,"25,000 - 49,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,All,Fewer than 40,"50,000 - 99,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,All,Fewer than 40,All,,,,,,,Hot Dry,2023,≤5
Healthcare,2B,All,Open Continuously,"5,000 - 9,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,All,Open Continuously,"50,000 - 99,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,All,Open Continuously,All,,,,,,,Hot Dry,2023,≤5
Healthcare,2B,Before 1946,48.01 - 60,"25,000 - 49,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,Before 1946,48.01 - 60,All,,,,,,,Hot Dry,2023,≤5
Healthcare,2B,Before 1946,All,"25,000 - 49,999",,,,,,,Hot Dry,2023,≤5
Healthcare,2B,Before 1946,All,All,,,,,,,Hot Dry,2023,≤5
Healthcare,3A,1946-1959,All,"200,000 - 499,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,1946-1959,All,All,,,,,,,Warm Humid,2023,≤5
Healthcare,3A,1946-1959,Open Continuously,"200,000 - 499,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,1946-1959,Open Continuously,All,,,,,,,Warm Humid,2023,≤5
Healthcare,3A,1960-1979,40-48,"100,000 - 199,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,1960-1979,40-48,"25,000 - 49,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,1960-1979,40-48,"5,000 - 9,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,1960-1979,40-48,"50,000 - 99,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,1960-1979,40-48,All,,,,,,,Warm Humid,2023,≤5
Healthcare,3A,1960-1979,48.01 - 60,"100,000 - 199,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,1960-1979,48.01 - 60,"25,000 - 49,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,1960-1979,48.01 - 60,"50,000 - 99,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,1960-1979,48.01 - 60,All,,,,,,,Warm Humid,2023,≤5
Healthcare,3A,1960-1979,60.01 - 84,"10,000 - 24,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,1960-1979,60.01 - 84,"100,000 - 199,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,1960-1979,60.01 - 84,"25,000 - 49,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,1960-1979,60.01 - 84,"5,000 - 9,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,1960-1979,60.01 - 84,"50,000 - 99,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,1960-1979,60.01 - 84,All,30.92,41.65,66.9,72.2,81.6,139.56999999999994,Warm Humid,2023,6-29
Healthcare,3A,1960-1979,All,"10,000 - 24,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,1960-1979,All,"100,000 - 199,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,1960-1979,All,"25,000 - 49,999",32.825,47.025,55.85,53.483333333333334,60.625,70.92500000000001,Warm Humid,2023,6-29
Healthcare,3A,1960-1979,All,"5,000 - 9,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,1960-1979,All,"50,000 - 99,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,1960-1979,All,All,28.82,45.6,62.0,73.01176470588236,84.9,164.07999999999998,Warm Humid,2023,6-29
Healthcare,3A,1960-1979,Fewer than 40,"25,000 - 49,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,1960-1979,Fewer than 40,All,,,,,,,Warm Humid,2023,≤5
Healthcare,3A,1980-1999,40-48,"10,000 - 24,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,1980-1999,40-48,"25,000 - 49,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,1980-1999,40-48,"5,000 - 9,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,1980-1999,40-48,"50,000 - 99,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,1980-1999,40-48,All,27.490000000000002,44.75,64.8,77.46666666666667,109.85,154.22,Warm Humid,2023,6-29
Healthcare,3A,1980-1999,48.01 - 60,"10,000 - 24,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,1980-1999,48.01 - 60,"100,000 - 199,999",45.25,48.825,63.65,75.68333333333334,98.2,123.05,Warm Humid,2023,6-29
Healthcare,3A,1980-1999,48.01 - 60,"200,000 - 499,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,1980-1999,48.01 - 60,"25,000 - 49,999",29.475,41.575,65.35,71.5625,107.625,116.83,Warm Humid,2023,6-29
Healthcare,3A,1980-1999,48.01 - 60,"5,000 - 9,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,1980-1999,48.01 - 60,"50,000 - 99,999",50.120000000000005,59.2,69.5,75.38571428571429,88.8,107.00999999999998,Warm Humid,2023,6-29
Healthcare,3A,1980-1999,48.01 - 60,All,29.55,46.3,62.4,67.89677419354838,88.8,117.85,Warm Humid,2023,30-49
Healthcare,3A,1980-1999,60.01 - 84,"1,000 - 4,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,1980-1999,60.01 - 84,"10,000 - 24,999",39.72,45.2,47.3,58.0625,62.7,96.835,Warm Humid,2023,6-29
Healthcare,3A,1980-1999,60.01 - 84,"100,000 - 199,999",46.025,65.325,77.85,77.93333333333334,90.75,109.8,Warm Humid,2023,6-29
Healthcare,3A,1980-1999,60.01 - 84,"200,000 - 499,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,1980-1999,60.01 - 84,"25,000 - 49,999",29.28,48.8,55.8,62.82857142857143,78.35,103.92999999999999,Warm Humid,2023,6-29
Healthcare,3A,1980-1999,60.01 - 84,"5,000 - 9,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,1980-1999,60.01 - 84,"50,000 - 99,999",40.5,57.6,76.3,80.32857142857142,88.1,139.1,Warm Humid,2023,6-29
Healthcare,3A,1980-1999,60.01 - 84,All,38.495,47.6,66.25,74.37916666666666,89.27499999999999,130.69999999999996,Warm Humid,2023,30-49
Healthcare,3A,1980-1999,84.01-167,"100,000 - 199,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,1980-1999,84.01-167,"25,000 - 49,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,1980-1999,84.01-167,"50,000 - 99,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,1980-1999,84.01-167,All,54.3,61.775000000000006,97.5,115.36666666666666,126.47500000000001,225.6,Warm Humid,2023,6-29
Healthcare,3A,1980-1999,All,"1,000 - 4,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,1980-1999,All,"10,000 - 24,999",30.73,43.8,47.3,65.86111111111111,77.525,142.87999999999997,Warm Humid,2023,6-29
Healthcare,3A,1980-1999,All,"100,000 - 199,999",44.2,58.2,81.3,89.52352941176471,122.4,136.07999999999998,Warm Humid,2023,6-29
Healthcare,3A,1980-1999,All,"200,000 - 499,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,1980-1999,All,"25,000 - 49,999",21.415,45.75,54.65,73.77727272727273,103.6,148.45999999999998,Warm Humid,2023,6-29
Healthcare,3A,1980-1999,All,"5,000 - 9,999",35.25,46.7,60.25,63.92,78.675,101.16999999999997,Warm Humid,2023,6-29
Healthcare,3A,1980-1999,All,"50,000 - 99,999",41.625,60.225,78.05,82.34166666666667,93.9,131.825,Warm Humid,2023,30-49
Healthcare,3A,1980-1999,All,All,31.385,47.375,69.25,78.17592592592592,100.625,146.11999999999992,Warm Humid,2023,100-249
Healthcare,3A,1980-1999,Fewer than 40,"50,000 - 99,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,1980-1999,Fewer than 40,All,,,,,,,Warm Humid,2023,≤5
Healthcare,3A,1980-1999,Open Continuously,"10,000 - 24,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,1980-1999,Open Continuously,"100,000 - 199,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,1980-1999,Open Continuously,All,,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2000-2009,40-48,"10,000 - 24,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2000-2009,40-48,"100,000 - 199,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2000-2009,40-48,"200,000 - 499,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2000-2009,40-48,"25,000 - 49,999",49.025,60.375,77.65,84.86666666666666,108.575,129.65,Warm Humid,2023,6-29
Healthcare,3A,2000-2009,40-48,"5,000 - 9,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2000-2009,40-48,"50,000 - 99,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2000-2009,40-48,All,6.0600000000000005,58.4,74.69999999999999,74.585,85.42500000000001,136.29000000000002,Warm Humid,2023,6-29
Healthcare,3A,2000-2009,48.01 - 60,"10,000 - 24,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2000-2009,48.01 - 60,"100,000 - 199,999",63.0,71.975,81.4,81.38333333333334,91.65,99.175,Warm Humid,2023,6-29
Healthcare,3A,2000-2009,48.01 - 60,"200,000 - 499,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2000-2009,48.01 - 60,"25,000 - 49,999",31.290000000000003,47.925,77.30000000000001,84.62,107.75,157.92500000000004,Warm Humid,2023,6-29
Healthcare,3A,2000-2009,48.01 - 60,"5,000 - 9,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2000-2009,48.01 - 60,"50,000 - 99,999",15.725000000000001,50.55,59.5,64.2625,77.175,112.7,Warm Humid,2023,6-29
Healthcare,3A,2000-2009,48.01 - 60,All,21.68,50.599999999999994,74.5,74.85833333333333,91.075,142.905,Warm Humid,2023,30-49
Healthcare,3A,2000-2009,60.01 - 84,"1,000 - 4,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2000-2009,60.01 - 84,"10,000 - 24,999",14.120000000000001,26.6,81.2,72.16153846153846,102.7,138.69999999999993,Warm Humid,2023,6-29
Healthcare,3A,2000-2009,60.01 - 84,"100,000 - 199,999",20.85,46.099999999999994,73.3,83.6,115.15,162.3,Warm Humid,2023,6-29
Healthcare,3A,2000-2009,60.01 - 84,"200,000 - 499,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2000-2009,60.01 - 84,"25,000 - 49,999",34.475,58.6,72.4,78.51666666666667,94.5,125.41499999999994,Warm Humid,2023,30-49
Healthcare,3A,2000-2009,60.01 - 84,"5,000 - 9,999",12.725,19.375,36.85,32.86666666666667,40.75,52.1,Warm Humid,2023,6-29
Healthcare,3A,2000-2009,60.01 - 84,"50,000 - 99,999",30.655000000000005,60.4,76.3,81.41333333333333,86.75,128.87999999999997,Warm Humid,2023,30-49
Healthcare,3A,2000-2009,60.01 - 84,All,15.020000000000001,52.8,71.9,76.01397849462366,93.6,134.82,Warm Humid,2023,50-99
Healthcare,3A,2000-2009,84.01-167,"1,000 - 4,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2000-2009,84.01-167,"10,000 - 24,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2000-2009,84.01-167,"100,000 - 199,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2000-2009,84.01-167,"25,000 - 49,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2000-2009,84.01-167,"50,000 - 99,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2000-2009,84.01-167,All,39.79,67.925,79.95,76.39166666666667,94.85000000000001,103.445,Warm Humid,2023,6-29
Healthcare,3A,2000-2009,All,"1,000 - 4,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2000-2009,All,"10,000 - 24,999",3.9050000000000002,26.075,70.6,63.208333333333336,86.325,121.80499999999996,Warm Humid,2023,6-29
Healthcare,3A,2000-2009,All,"100,000 - 199,999",31.8,61.4,78.6,86.26190476190476,101.3,174.7,Warm Humid,2023,6-29
Healthcare,3A,2000-2009,All,"200,000 - 499,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2000-2009,All,"25,000 - 49,999",32.900000000000006,59.4,76.1,83.97538461538461,99.4,156.28,Warm Humid,2023,50-99
Healthcare,3A,2000-2009,All,"5,000 - 9,999",13.25,35.05,40.3,43.654545454545456,57.25,74.2,Warm Humid,2023,6-29
Healthcare,3A,2000-2009,All,"50,000 - 99,999",20.560000000000002,59.05,75.7,78.83636363636364,88.05000000000001,135.23999999999998,Warm Humid,2023,50-99
Healthcare,3A,2000-2009,All,All,14.69,56.05,74.6,77.1983606557377,94.0,153.27000000000004,Warm Humid,2023,100-249
Healthcare,3A,2000-2009,Fewer than 40,"10,000 - 24,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2000-2009,Fewer than 40,"25,000 - 49,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2000-2009,Fewer than 40,"50,000 - 99,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2000-2009,Fewer than 40,All,,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2000-2009,Open Continuously,"10,000 - 24,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2000-2009,Open Continuously,"100,000 - 199,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2000-2009,Open Continuously,"25,000 - 49,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2000-2009,Open Continuously,"50,000 - 99,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2000-2009,Open Continuously,All,66.92999999999999,93.94999999999999,116.3,125.17142857142858,164.45,178.48,Warm Humid,2023,6-29
Healthcare,3A,2010 and after,40-48,"10,000 - 24,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2010 and after,40-48,"25,000 - 49,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2010 and after,40-48,"50,000 - 99,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2010 and after,40-48,All,48.105000000000004,65.425,66.30000000000001,69.81,68.475,100.94999999999997,Warm Humid,2023,6-29
Healthcare,3A,2010 and after,48.01 - 60,"10,000 - 24,999",38.71,66.8,81.7,99.54285714285714,138.35,174.1,Warm Humid,2023,6-29
Healthcare,3A,2010 and after,48.01 - 60,"100,000 - 199,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2010 and after,48.01 - 60,"25,000 - 49,999",13.15,66.95,73.4,80.83636363636364,101.5,149.89999999999998,Warm Humid,2023,6-29
Healthcare,3A,2010 and after,48.01 - 60,"5,000 - 9,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2010 and after,48.01 - 60,"50,000 - 99,999",50.54,83.94999999999999,87.8,124.58666666666667,158.7,232.4899999999999,Warm Humid,2023,6-29
Healthcare,3A,2010 and after,48.01 - 60,All,14.445,65.025,85.65,99.0,136.375,179.08499999999995,Warm Humid,2023,30-49
Healthcare,3A,2010 and after,60.01 - 84,"10,000 - 24,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2010 and after,60.01 - 84,"100,000 - 199,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2010 and after,60.01 - 84,"200,000 - 499,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2010 and after,60.01 - 84,"25,000 - 49,999",4.54,53.55,74.7,77.26,97.45,156.8699999999999,Warm Humid,2023,6-29
Healthcare,3A,2010 and after,60.01 - 84,"5,000 - 9,999",27.285,40.925,57.900000000000006,58.71,74.875,92.01999999999998,Warm Humid,2023,6-29
Healthcare,3A,2010 and after,60.01 - 84,"50,000 - 99,999",41.85000000000001,73.45,82.5,85.4625,104.825,126.475,Warm Humid,2023,6-29
Healthcare,3A,2010 and after,60.01 - 84,All,8.13,46.2,74.0,73.34038461538462,96.47500000000001,142.43999999999988,Warm Humid,2023,50-99
Healthcare,3A,2010 and after,84.01-167,"200,000 - 499,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2010 and after,84.01-167,"25,000 - 49,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2010 and after,84.01-167,"50,000 - 99,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2010 and after,84.01-167,All,,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2010 and after,All,"10,000 - 24,999",10.459999999999999,38.05,62.9,69.15333333333334,78.6,173.70000000000002,Warm Humid,2023,6-29
Healthcare,3A,2010 and after,All,"100,000 - 199,999",25.640000000000004,53.75,71.15,78.46,96.4,147.95499999999993,Warm Humid,2023,6-29
Healthcare,3A,2010 and after,All,"200,000 - 499,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2010 and after,All,"25,000 - 49,999",6.175000000000001,62.575,74.05000000000001,84.65,105.17500000000001,217.23499999999999,Warm Humid,2023,30-49
Healthcare,3A,2010 and after,All,"5,000 - 9,999",27.35,42.75,54.2,58.3,74.05000000000001,91.5,Warm Humid,2023,6-29
Healthcare,3A,2010 and after,All,"50,000 - 99,999",50.6,73.45,85.75,100.06944444444444,113.55,182.075,Warm Humid,2023,30-49
Healthcare,3A,2010 and after,All,All,10.26,55.55,77.25,85.75181818181818,102.175,180.62499999999997,Warm Humid,2023,100-249
Healthcare,3A,2010 and after,Fewer than 40,"100,000 - 199,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2010 and after,Fewer than 40,"50,000 - 99,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2010 and after,Fewer than 40,All,,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2010 and after,Open Continuously,"100,000 - 199,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2010 and after,Open Continuously,"25,000 - 49,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,2010 and after,Open Continuously,All,,,,,,,Warm Humid,2023,≤5
Healthcare,3A,All,40-48,"10,000 - 24,999",4.8,39.4,66.2,68.15454545454546,85.35,146.2,Warm Humid,2023,6-29
Healthcare,3A,All,40-48,"100,000 - 199,999",,,,,,,Warm Humid,2023,≤5
Healthcare,3A,All,40-48,"200,000 - 499,999",,,,,,,Warm Humid,2023,≤5
