id,from_buildingsnapshot_id,to_buildingsnapshot_id
396713,4747164,4747533
396714,4746162,4747534
396715,4747163,4747534
396716,4746164,4747535
396717,4747162,4747535
396718,4746140,4747536
396719,4747161,4747536
396720,4746133,4747537
396721,4747160,4747537
396722,4746089,4747538
396723,4747159,4747538
396724,4746160,4747539
396725,4747158,4747539
396726,4746076,4747540
396727,4747157,4747540
396728,4746141,4747541
396729,4747156,4747541
396730,4746142,4747542
396731,4747155,4747542
396732,4746153,4747543
396733,4747153,4747543
396734,4746132,4747544
396735,4747154,4747544
396736,4746137,4747545
396737,4747152,4747545
396738,4746075,4747546
396739,4747151,4747546
396740,4746102,4747547
396741,4747150,4747547
396742,4746149,4747548
396743,4747149,4747548
396744,4746100,4747549
396745,4747148,4747549
396746,4746124,4747550
396747,4747145,4747550
396748,4746138,4747551
396749,4747147,4747551
396750,4746143,4747552
396751,4747146,4747552
396752,4746114,4747553
396753,4747144,4747553
396754,4746150,4747554
396755,4747143,4747554
396756,4746060,4747555
396757,4747142,4747555
396758,4746139,4747556
396759,4747141,4747556
396760,4746058,4747557
396761,4747140,4747557
396762,4746117,4747558
396763,4747138,4747558
396764,4746126,4747559
396765,4747139,4747559
396766,4746136,4747560
396767,4747137,4747560
396768,4746129,4747561
396769,4747136,4747561
396770,4746083,4747562
396771,4747135,4747562
396772,4746122,4747563
396773,4747134,4747563
396774,4746131,4747564
396775,4747133,4747564
396776,4746125,4747565
396777,4747132,4747565
396778,4746109,4747566
396779,4747131,4747566
396780,4746081,4747567
396781,4747130,4747567
396782,4746127,4747568
396783,4747129,4747568
396784,4746044,4747569
396785,4747127,4747569
396786,4746134,4747570
396787,4747128,4747570
396788,4746096,4747571
396789,4747126,4747571
396790,4746123,4747572
396791,4747125,4747572
396792,4746098,4747573
396793,4747124,4747573
396794,4746110,4747574
396795,4747123,4747574
396796,4746043,4747575
396797,4747122,4747575
396798,4746072,4747576
396799,4747121,4747576
396800,4746104,4747577
396801,4747120,4747577
396802,4746120,4747578
396803,4747119,4747578
396804,4746112,4747579
396805,4747118,4747579
396806,4746094,4747580
396807,4747117,4747580
396808,4746064,4747581
396809,4747116,4747581
396810,4746115,4747582
396811,4747115,4747582
396812,4746108,4747583
396813,4747114,4747583
396814,4746023,4747584
396815,4747113,4747584
396816,4746084,4747585
396817,4747112,4747585
396818,4746111,4747586
396819,4747111,4747586
396820,4746116,4747587
396821,4747110,4747587
396822,4746088,4747588
396823,4747109,4747588
396824,4746087,4747589
396825,4747108,4747589
396826,4746107,4747590
396827,4747107,4747590
396828,4746093,4747591
396829,4747106,4747591
396830,4746056,4747592
396831,4747105,4747592
396832,4746092,4747593
396833,4747104,4747593
396834,4746097,4747594
396835,4747103,4747594
396836,4746103,4747595
396837,4747102,4747595
396838,4746049,4747596
396839,4747101,4747596
396840,4746079,4747597
396841,4747100,4747597
396842,4746026,4747598
396843,4747099,4747598
396844,4746099,4747599
396845,4747098,4747599
396846,4746069,4747600
396847,4747097,4747600
396848,4746095,4747601
396849,4747095,4747601
396850,4746101,4747602
396851,4747094,4747602
396852,4746011,4747603
396853,4747096,4747603
396854,4746077,4747604
396855,4747093,4747604
396856,4746068,4747605
396857,4747090,4747605
396858,4746090,4747606
396859,4747092,4747606
396860,4746071,4747607
396861,4747091,4747607
396862,4746073,4747608
396863,4747089,4747608
396864,4746040,4747609
396865,4747088,4747609
396866,4746080,4747610
396867,4747086,4747610
396868,4746085,4747611
396869,4747087,4747611
396870,4746031,4747612
396871,4747085,4747612
396872,4746065,4747613
396873,4747084,4747613
396874,4746010,4747614
396875,4747083,4747614
396876,4746082,4747615
396877,4747082,4747615
396878,4746052,4747616
396879,4747081,4747616
396880,4745998,4747617
396881,4747080,4747617
396882,4746086,4747618
396883,4747079,4747618
396884,4746048,4747619
396885,4747076,4747619
396886,4746078,4747620
396887,4747078,4747620
396888,4746057,4747621
396889,4747077,4747621
396890,4746053,4747622
396891,4747074,4747622
396892,4746074,4747623
396893,4747073,4747623
396894,4746061,4747624
396895,4747075,4747624
396896,4746054,4747625
396897,4747072,4747625
396898,4746034,4747626
396899,4747071,4747626
396900,4746070,4747627
396901,4747070,4747627
396902,4745995,4747628
396903,4747068,4747628
396904,4746020,4747629
396905,4747069,4747629
396906,4746032,4747630
396907,4747067,4747630
396908,4746067,4747631
396909,4747066,4747631
396910,4746062,4747632
396911,4747065,4747632
396912,4746036,4747633
396913,4747064,4747633
396914,4745982,4747634
396915,4747063,4747634
396916,4746063,4747635
396917,4747062,4747635
396918,4746066,4747636
396919,4747061,4747636
396920,4746037,4747637
396921,4747060,4747637
396922,4746041,4747638
396923,4747059,4747638
396924,4746059,4747639
396925,4747058,4747639
396926,4746035,4747640
396927,4747057,4747640
396928,4746055,4747641
396929,4747056,4747641
396930,4746019,4747642
396931,4747054,4747642
396932,4746045,4747643
396933,4747055,4747643
396934,4746050,4747644
396935,4747053,4747644
396936,4746006,4747645
396937,4747052,4747645
396938,4746051,4747646
396939,4747050,4747646
396940,4746005,4747647
396941,4747051,4747647
396942,4746046,4747648
396943,4747049,4747648
396944,4745967,4747649
396945,4747048,4747649
396946,4746047,4747650
396947,4747046,4747650
396948,4746024,4747651
396949,4747047,4747651
396950,4745980,4747652
