ID,Building ID,Final Clean UBI
576,3503802,03692763
577,3503822,00720075
578,3503889,25900801
579,3503998,16012423
580,3504029,18050002
581,3504183,00370853
582,3504210,01660032
583,3504391,22260801
584,3504438,12220062
585,3504675,01970081
586,3504813,24720036
587,3504818,PAR01730109
588,3504819,40370804
589,3504833,17690031
590,3504836,12030047
591,3505069,38210044
592,3505139,00810835
593,3505225,00990050
594,3505445,12220062
595,3505513,12220062
596,3505560,02170047
597,3505691,08730112
598,3505747,62190032
599,3506383,12220062
600,3506399,12220062
601,3506412,12220062
602,3506424,12220062
603,3506526,26760795
604,3506531,11872382
605,3506587,21320026
606,3506588,13000532
607,3506659,12991006
608,3506991,00500086
609,3507141,00790861
610,3507167,02452637
611,3507171,17092430
612,3507252,59730016
613,3507253,01990831
614,3507411,03711349
615,3507416,16610813
616,3507508,02250033
617,3507757,02360067
618,3507775,05290851
619,3507783,19190035
620,3507803,06950819
621,3507804,26780709
622,3508102,20491080
623,3508206,16730824
624,3508225,02102595
625,3508261,00730085
626,3508373,62710027
627,3508539,PAR01200034
628,3508616,16990001
629,3508829,16633127
630,3509280,0516S0861
631,3509438,00251646
632,3509604,01570864
633,3509608,16660805
634,3509928,00310835
635,3510039,00790064
636,3510066,00940031
637,3510100,13010956
638,3510101,18070043
639,3510102,16012461
640,3510103,20390804
641,3510302,0182N0011
642,3510411,17171064
644,3510438,43500006
645,3510450,04940859
646,3510462,01630052
647,3510487,02180080
648,3511715,19720024
649,3511781,12220062
650,3511931,03300800
651,3512309,01570864
652,3512552,16570024
653,3512600,03423134
654,3512611,28110802
655,3512639,16610855
656,3512672,03173086
657,3512753,22430066
658,3512771,05173063
659,3512821,36050812
660,3512849,43500006
661,3512890,03150822
662,3512965,20490810
663,3512975,04580023
664,3512980,28731101
665,3513020,30650036
666,3513025,25740831
667,3513078,30640044
668,3513277,26620204
669,3513396,00790063
670,3513593,25710954
671,3513627,01890060
672,3513629,12002387
673,3513647,25451139
674,3513654,25821336
675,3513773,07410817
676,3513807,04573066
677,3513815,02040846
678,3513874,01792173
679,3514113,1264E2396
680,3514124,01581058
681,3514127,05042275
682,3514565,35820802
683,3515234,05022273
684,3518256,04593038
685,3518969,05173053
686,3519739,02120122
687,3519900,25671210
688,3523177,20390001
689,3395808,00160093
690,3395808,00160863
691,2394435,00730884
692,2394435,00730883
693,2265130,00790853
694,2265130,00790065
695,3510072,01040021
696,3510072,01040835
697,1418471,01220824
698,1418471,01220825
699,3518106,01380014
700,3518106,01380803
701,1411409,01620037
702,1411409,01620038
703,1411409,01620074
704,1411409,01620807
705,1411409,01620808
706,3512670,01660043
707,3512670,01660863
708,3512670,01667002
709,3512670,01667003
710,3512670,01667004
711,3512670,01667005
712,3512670,01667006
713,3512670,01667007
714,3512670,01667008
715,3498223,02120850
716,3498223,02120122
717,3518107,02830044
718,3518107,02830826
719,3518107,02830827
720,1346869,02860819
721,1346869,02860818
722,3353544,04357000
723,3353544,03870869
724,3353544,03877000
725,2730721,04073046
726,2730721,04070025
727,3512757,04860040
728,3512757,04862001
729,3512757,04862002
730,3512757,04862003
731,1184444,04940032
732,1184444,04940033
733,3465126,04990061
734,3465126,04990856
735,3295814,05400109
736,3295814,05400118
737,2590110,05420870
738,2590110,05420871
739,2590110,05427000
740,2590110,05427001
741,2590110,05427002
742,2590110,05427003
743,2058465,06720849
744,2058465,06720856
745,2740856,07110812
